Time (s),Voltage (V),Current (A),Temp (C)
1.08,0.00,0.37,26.4
2.16,0.00,0.35,26.4
3.25,0.00,1.18,26.4
4.33,10.20,0.76,26.4
5.41,10.24,0.74,26.4
6.49,10.13,0.78,26.4
7.58,10.22,0.76,26.4
8.66,10.20,0.75,26.4
9.74,10.20,0.77,26.4
10.82,10.23,0.74,26.4
11.90,10.21,0.75,26.5
12.98,10.21,0.76,26.5
14.07,10.23,0.78,26.4
15.15,10.23,0.77,26.4
16.23,10.23,0.78,25.0
17.31,10.23,0.73,25.0
18.40,10.22,0.75,25.0
19.48,10.21,0.77,25.0
20.56,10.21,0.78,25.0
21.64,10.19,0.77,25.0
22.73,10.22,0.75,25.0
23.81,10.20,0.75,25.0
24.89,10.21,0.75,25.0
25.97,10.18,0.78,25.0
27.06,10.20,0.75,25.0
28.14,10.21,0.77,25.0
29.22,10.20,0.75,25.0
30.30,10.21,0.76,25.0
31.39,10.22,0.74,25.0
32.47,10.19,0.75,25.0
33.55,10.19,0.76,25.0
34.63,10.21,0.75,25.0
35.72,10.19,0.75,25.0
36.80,10.21,0.76,25.0
37.88,10.17,0.76,25.0
38.96,10.20,0.75,25.0
40.04,10.18,0.75,25.0
41.13,10.20,0.77,25.0
42.21,10.19,0.77,25.0
43.29,10.23,0.76,25.0
44.37,10.22,0.77,25.0
45.45,10.16,0.74,25.0
46.54,10.17,0.74,25.0
47.62,10.19,0.77,25.0
48.70,10.18,0.78,25.0
49.78,10.18,0.77,25.0
50.87,10.20,0.74,25.0
51.95,10.19,0.74,25.0
53.03,10.20,0.73,25.0
54.11,10.20,0.77,25.0
55.20,10.22,0.76,25.0
56.28,10.18,0.76,25.0
57.36,10.16,0.73,25.0
58.44,10.18,0.75,25.0
59.52,10.20,0.75,25.0
60.60,10.20,0.76,25.0
61.69,10.16,0.75,25.0
62.77,10.18,0.77,25.0
63.85,10.16,0.77,25.0
64.93,10.16,0.74,25.0
66.02,10.17,0.74,25.0
67.10,10.21,0.76,25.0
68.18,10.15,0.73,25.0
69.26,10.18,0.74,25.0
70.35,10.19,0.75,25.0
71.43,10.17,0.76,25.0
72.51,10.20,0.75,25.0
73.59,10.18,0.74,25.0
74.68,10.16,0.74,25.0
75.75,10.13,0.74,25.0
76.84,10.17,0.74,25.0
77.92,10.14,0.73,25.0
79.00,10.21,0.75,25.0
80.08,10.19,0.75,25.0
81.17,10.16,0.74,25.0
82.25,10.16,0.75,25.0
83.33,10.16,0.74,25.0
84.41,10.20,0.73,25.0
85.50,10.15,0.76,25.0
86.58,10.16,0.73,25.0
87.66,10.18,0.75,25.0
88.74,10.15,0.74,25.0
89.83,10.18,0.74,25.0
90.91,10.14,0.74,25.0
91.99,10.15,0.76,25.0
93.07,10.16,0.77,25.0
94.16,10.15,0.77,25.0
95.24,10.17,0.76,25.0
96.32,10.14,0.73,25.0
97.40,10.16,0.77,25.0
98.49,10.15,0.77,25.0
99.57,10.16,0.75,25.0
100.65,10.15,0.77,25.0
101.73,10.13,0.77,25.0
102.81,10.13,0.74,25.0
103.89,10.14,0.75,25.0
104.98,10.16,0.73,25.0
106.06,10.14,0.76,25.0
107.14,10.13,0.74,25.0
108.22,10.15,0.76,25.0
109.31,10.16,0.75,25.0
110.39,10.13,0.75,25.0
111.47,10.12,0.75,25.0
112.55,10.14,0.75,25.0
113.64,10.14,0.79,25.0
114.72,10.14,0.75,25.0
115.80,10.15,0.77,25.0
116.88,10.14,0.78,25.0
117.96,10.14,0.76,25.0
119.05,10.14,0.75,25.0
120.13,10.14,0.76,25.0
121.21,10.13,0.76,25.0
122.29,10.14,0.78,25.0
123.38,10.15,0.74,25.0
124.46,10.13,0.77,25.0
125.54,10.14,0.77,25.0
126.62,10.12,0.73,25.0
127.70,10.14,0.75,25.0
128.79,10.15,0.76,25.0
129.87,10.11,0.76,25.0
130.95,10.13,0.72,25.0
132.04,10.16,0.73,25.0
133.12,10.15,0.78,25.0
134.20,10.11,0.74,25.0
135.28,10.12,0.76,25.0
136.36,10.13,0.77,25.0
137.45,10.16,0.76,25.0
138.53,10.12,0.75,25.0
139.61,10.13,0.72,25.0
140.69,10.12,0.76,25.0
141.78,10.15,0.78,25.0
142.86,10.12,0.75,25.0
143.94,10.11,0.74,25.0
145.02,10.14,0.74,25.0
146.11,10.12,0.77,25.0
147.19,10.11,0.76,25.0
148.27,10.11,0.75,25.0
149.35,10.13,0.74,25.0
150.43,10.11,0.71,25.0
151.52,10.13,0.73,25.0
152.60,10.12,0.73,25.0
153.68,10.13,0.76,25.0
154.76,10.11,0.77,25.0
155.84,10.10,0.75,25.0
156.93,10.13,0.75,25.0
158.01,10.11,0.74,25.0
159.09,10.13,0.75,25.0
160.17,10.10,0.75,25.0
161.26,10.10,0.74,25.0
162.34,10.11,0.75,25.0
163.42,10.11,0.73,25.0
164.50,10.10,0.75,25.0
165.59,10.10,0.76,25.0
166.67,10.12,0.74,25.0
167.75,10.12,0.74,25.0
168.83,10.09,0.77,25.0
169.91,10.11,0.77,25.0
171.00,10.10,0.77,25.0
172.08,10.10,0.71,25.0
173.16,10.12,0.77,25.0
174.24,10.10,0.76,25.0
175.32,10.09,0.73,25.0
176.41,10.12,0.73,25.0
177.49,10.12,0.75,25.0
178.57,10.09,0.74,25.0
179.65,10.11,0.76,25.0
180.74,10.10,0.76,25.0
181.82,10.10,0.79,25.0
182.90,10.09,0.74,25.0
183.98,10.11,0.76,25.0
185.07,10.12,0.75,25.0
186.15,10.09,0.76,25.0
187.23,10.11,0.77,25.0
188.31,10.11,0.75,25.0
189.40,10.11,0.74,25.0
190.48,10.10,0.76,25.0
191.56,10.09,0.76,25.0
192.64,10.10,0.75,25.0
193.72,10.10,0.75,25.0
194.80,10.11,0.75,25.0
195.89,10.11,0.75,25.0
196.97,10.11,0.76,25.0
198.05,10.12,0.74,25.0
199.13,10.10,0.76,25.0
200.22,10.10,0.74,25.0
201.30,10.09,0.74,25.0
202.38,10.11,0.76,25.0
203.46,10.10,0.75,25.0
204.55,10.11,0.74,25.0
205.63,10.12,0.76,25.0
206.71,10.10,0.76,25.0
207.79,10.10,0.77,25.0
208.88,10.10,0.75,25.0
209.96,10.09,0.76,25.0
211.04,10.10,0.76,25.0
212.12,10.11,0.74,25.0
213.20,10.09,0.74,25.0
214.28,10.09,0.74,25.0
215.37,10.10,0.75,25.0
216.45,10.10,0.77,25.0
217.53,10.08,0.74,25.0
218.61,10.12,0.75,25.0
219.70,10.10,0.76,25.0
220.78,10.09,0.77,25.0
221.86,10.11,0.77,25.0
222.94,10.10,0.75,25.0
224.03,10.12,0.76,25.0
225.11,10.07,0.76,25.0
226.19,10.09,0.77,25.0
227.27,10.09,0.76,25.0
228.36,10.11,0.75,25.0
229.44,10.10,0.76,25.0
230.52,10.08,0.78,25.0
231.60,10.08,0.77,25.0
232.68,10.10,0.76,25.0
233.76,10.08,0.75,25.0
234.85,10.08,0.76,25.0
235.93,10.08,0.74,25.0
237.01,10.08,0.74,25.0
238.09,10.11,0.77,25.0
239.18,10.09,0.75,25.0
240.26,10.08,0.76,25.0
241.34,10.09,0.76,25.0
242.42,10.10,0.74,25.0
243.51,10.10,0.75,25.0
244.59,10.08,0.75,25.0
245.67,10.07,0.75,25.0
246.75,10.09,0.74,25.0
247.84,10.08,0.75,25.0
248.91,10.07,0.77,25.0
250.00,10.06,0.73,25.0
251.08,10.10,0.73,25.0
252.16,10.11,0.76,25.0
253.25,10.07,0.78,25.0
254.33,10.09,0.75,25.0
255.41,10.09,0.73,25.0
256.49,10.09,0.72,25.0
257.57,10.10,0.77,25.0
258.66,10.09,0.76,25.0
259.74,10.08,0.74,25.0
260.82,10.08,0.76,25.0
261.90,10.11,0.75,25.0
262.99,10.10,0.73,25.0
264.07,10.11,0.76,25.0
265.15,10.08,0.75,25.0
266.23,10.07,0.75,25.0
267.32,10.08,0.75,25.0
268.40,10.10,0.74,25.0
269.48,10.08,0.74,25.0
270.56,10.07,0.75,25.0
271.64,10.07,0.76,25.0
272.73,10.10,0.75,25.0
273.81,10.07,0.74,25.0
274.89,10.06,0.75,25.0
275.97,10.09,0.76,25.0
277.05,10.09,0.76,25.0
278.14,10.09,0.76,25.0
279.22,10.08,0.76,25.0
280.30,10.07,0.75,25.0
281.38,10.08,0.75,25.0
282.47,10.07,0.77,25.0
283.55,10.07,0.77,25.0
284.63,10.07,0.78,25.0
285.71,10.07,0.75,25.0
286.80,10.08,0.76,25.0
287.88,10.08,0.75,25.0
288.96,10.10,0.72,25.0
290.04,10.06,0.79,25.0
291.13,10.09,0.72,25.0
292.21,10.07,0.75,25.0
293.29,10.06,0.76,25.0
294.37,10.05,0.77,25.0
295.46,10.06,0.74,25.0
296.54,10.06,0.77,25.0
297.62,10.07,0.76,25.0
298.70,10.06,0.75,25.0
299.79,10.04,0.75,25.0
300.87,10.08,0.77,25.0
301.95,10.06,0.77,25.0
303.03,10.05,0.79,25.0
304.11,10.07,0.75,25.0
305.20,10.09,0.77,25.0
306.28,10.07,0.76,25.0
307.36,10.06,0.77,25.0
308.45,10.07,0.75,25.0
309.52,10.09,0.75,25.0
310.61,10.06,0.75,25.0
311.69,10.07,0.74,25.0
312.77,10.06,0.76,25.0
313.85,10.06,0.75,25.0
314.94,10.08,0.74,25.0
316.02,10.05,0.74,25.0
317.10,10.07,0.74,25.0
318.18,10.07,0.75,25.0
319.27,10.08,0.73,25.0
320.35,10.04,0.73,25.0
321.43,10.07,0.74,25.0
322.51,10.06,0.72,25.0
323.60,10.06,0.74,25.0
324.68,10.07,0.75,25.0
325.76,10.07,0.75,25.0
326.84,10.09,0.75,25.0
327.92,10.10,0.75,25.0
329.01,10.10,0.76,25.0
330.09,10.08,0.75,25.0
331.17,10.06,0.77,25.0
332.26,10.06,0.74,25.0
333.33,10.06,0.73,25.0
334.42,10.08,0.75,25.0
335.50,10.05,0.78,25.0
336.58,10.05,0.76,25.0
337.66,10.07,0.74,25.0
338.75,10.03,0.77,25.0
339.83,10.07,0.77,25.0
340.91,10.06,0.76,25.0
341.99,10.07,0.76,25.0
343.08,10.05,0.74,25.0
344.16,10.03,0.75,25.0
345.24,10.06,0.77,25.0
346.32,10.09,0.75,25.0
347.41,10.05,0.74,25.0
348.49,10.04,0.75,25.0
349.57,10.05,0.75,25.0
350.65,10.06,0.72,25.0
351.73,10.07,0.74,25.0
352.82,10.07,0.74,25.0
353.90,10.07,0.74,25.0
354.98,10.08,0.74,25.0
356.06,10.05,0.73,25.0
357.14,10.05,0.75,25.0
358.23,10.05,0.77,25.0
359.31,10.07,0.76,25.0
360.39,10.06,0.73,25.0
361.47,10.04,0.77,25.0
362.56,10.06,0.73,25.0
363.64,10.04,0.77,25.0
364.72,10.04,0.73,25.0
365.80,10.06,0.73,25.0
366.88,10.08,0.73,25.0
367.97,10.05,0.73,25.0
369.05,10.02,0.74,25.0
370.13,10.07,0.75,25.0
371.21,10.06,0.74,25.0
372.29,10.05,0.74,25.0
373.38,10.03,0.73,25.0
374.46,10.07,0.73,25.0
375.54,10.04,0.76,25.0
376.62,10.03,0.74,25.0
377.71,10.04,0.74,25.0
378.79,10.04,0.77,25.0
379.87,10.03,0.77,25.0
380.95,10.04,0.75,25.0
382.04,10.03,0.74,25.0
383.12,10.04,0.75,25.0
384.20,10.03,0.76,25.0
385.28,10.02,0.72,25.0
386.36,10.03,0.73,25.0
387.45,10.03,0.72,25.0
388.53,10.04,0.72,25.0
389.61,10.01,0.74,25.0
390.69,10.02,0.71,25.0
391.77,10.05,0.74,25.0
392.86,10.07,0.73,25.0
393.94,10.02,0.74,25.0
395.02,10.02,0.75,25.0
396.10,10.01,0.73,25.0
397.19,10.01,0.76,25.0
398.27,10.03,0.73,25.0
399.35,10.02,0.72,25.0
400.43,10.04,0.73,25.0
401.52,10.02,0.74,25.0
402.60,10.01,0.73,25.0
403.68,10.02,0.74,25.0
404.76,10.06,0.73,25.0
405.84,10.06,0.75,25.0
406.92,10.05,0.74,25.0
408.01,10.06,0.75,25.0
409.09,10.03,0.74,25.0
410.17,10.03,0.74,25.0
411.26,10.03,0.74,25.0
412.34,10.08,0.77,25.0
413.42,9.99,0.75,25.0
414.50,10.02,0.73,25.0
415.58,10.02,0.73,25.0
416.67,10.01,0.74,25.0
417.75,10.03,0.78,25.0
418.83,9.97,0.78,25.0
419.91,10.04,0.73,25.0
421.00,10.01,0.75,25.0
422.08,10.04,0.71,25.0
423.16,10.02,0.74,25.0
424.24,10.01,0.76,25.0
425.33,10.03,0.73,25.0
426.41,10.02,0.72,25.0
427.49,10.05,0.74,25.0
428.57,10.03,0.76,25.0
429.66,10.02,0.73,25.0
430.74,10.01,0.72,25.0
431.82,10.03,0.72,25.0
432.90,10.05,0.73,25.0
433.98,10.02,0.75,25.0
435.06,10.01,0.74,25.0
436.15,10.01,0.74,25.0
437.23,10.05,0.72,25.0
438.31,10.02,0.70,25.0
439.39,10.05,0.71,25.0
440.48,10.05,0.72,25.0
441.56,10.05,0.76,25.0
442.64,10.04,0.73,25.0
443.72,10.00,0.74,25.0
444.81,10.03,0.74,25.0
