Time_s,SoC_%,Voltage_V,Current_A,Speed_mps,Temperature_C
0.0,100.0,13.395,0.664,0.0,28.65
3.5,99.99,13.37,0.876,0.197,28.72
7.1,99.97,13.39,0.965,0.319,28.58
10.6,99.95,13.376,1.239,0.436,28.97
14.2,99.93,13.358,1.746,0.626,29.27
17.7,99.9,13.337,1.698,0.671,29.0
21.3,99.88,13.334,1.766,0.832,29.09
24.8,99.86,13.3,1.852,0.865,28.91
28.3,99.84,13.319,1.816,0.908,29.43
31.9,99.81,13.306,1.686,0.83,28.98
35.4,99.79,13.329,1.825,0.802,29.12
39.0,99.76,13.263,2.379,1.011,29.69
42.5,99.74,13.276,2.404,1.024,29.31
46.1,99.71,13.233,2.961,1.359,29.25
49.6,99.69,13.229,3.106,1.566,29.42
53.1,99.66,13.244,3.063,1.581,29.52
56.7,99.63,13.221,3.174,1.582,29.99
60.2,99.61,13.25,2.89,1.484,29.59
63.8,99.58,13.252,2.528,1.343,29.37
67.3,99.55,13.26,2.988,1.409,29.75
70.9,99.53,13.223,3.071,1.517,29.87
74.4,99.5,13.236,3.268,1.625,29.53
78.0,99.47,13.263,3.083,1.57,29.91
81.5,99.44,13.19,3.126,1.541,29.81
85.0,99.41,13.205,3.23,1.641,29.77
88.6,99.39,13.2,3.493,1.794,29.29
92.1,99.36,13.219,3.525,1.74,29.82
95.7,99.33,13.208,3.261,1.62,29.97
99.2,99.3,13.231,3.09,1.601,29.58
102.8,99.27,13.195,3.387,1.719,30.2
106.3,99.24,13.242,2.919,1.521,29.59
109.8,99.21,13.204,3.085,1.653,29.44
113.4,99.18,13.233,3.121,1.588,29.77
116.9,99.15,13.164,3.279,1.598,29.77
120.5,99.12,13.202,2.906,1.4,29.75
124.0,99.09,13.274,2.633,1.401,29.45
127.6,99.06,13.237,2.821,1.4,29.82
131.1,99.03,13.211,2.961,1.442,29.5
134.6,99.0,13.247,3.135,1.592,29.7
138.2,98.97,13.236,3.02,1.652,29.38
141.7,98.94,13.239,2.973,1.486,29.46
145.3,98.91,13.198,3.248,1.623,29.76
148.8,98.88,13.219,3.143,1.612,29.55
152.4,98.85,13.219,3.101,1.648,29.58
155.9,98.82,13.175,3.271,1.767,29.69
