Time_s,Time_min,SoC_%,Voltage_V,Current_A,Speed_mps,Temperature_C
0.0,0.0,100.0,13.404,0.39,0.0,29.05
3.5,0.06,99.98,13.4,0.595,0.0,28.88
7.1,0.12,99.95,13.386,0.753,0.193,28.55
10.6,0.18,99.92,13.361,0.929,0.331,29.15
14.1,0.24,99.89,13.367,0.584,0.236,28.73
17.7,0.29,99.86,13.419,0.499,0.188,29.02
21.2,0.35,99.82,13.409,0.719,0.203,29.3
24.8,0.41,99.79,13.368,1.187,0.382,29.13
28.3,0.47,99.76,13.355,1.218,0.532,29.55
31.8,0.53,99.73,13.321,1.684,0.762,28.84
35.4,0.59,99.7,13.309,1.679,0.715,29.56
38.9,0.65,99.66,13.356,0.898,0.384,29.13
42.4,0.71,99.63,13.342,1.471,0.615,29.19
46.0,0.77,99.59,13.383,0.667,0.0,28.76
49.5,0.83,99.56,13.36,0.944,0.192,29.15
53.0,0.88,99.53,13.358,0.799,0.251,28.91
56.6,0.94,99.49,13.351,0.801,0.197,29.38
60.1,1.0,99.46,13.372,0.803,0.381,28.95
63.6,1.06,99.42,13.344,0.883,0.325,29.14
67.2,1.12,99.39,13.372,1.119,0.454,29.31
70.7,1.18,99.35,13.342,1.425,0.603,29.22
74.3,1.24,99.32,13.354,1.687,0.713,29.12
77.8,1.3,99.28,13.322,1.728,0.927,29.37
81.3,1.36,99.25,13.322,1.773,0.826,29.14
84.9,1.41,99.21,13.32,1.664,0.817,29.16
88.4,1.47,99.17,13.294,2.105,1.16,29.33
91.9,1.53,99.14,13.293,2.251,1.165,29.55
95.5,1.59,99.1,13.272,2.351,1.169,29.65
99.0,1.65,99.07,13.311,2.277,1.097,29.91
102.5,1.71,99.03,13.31,1.839,0.968,29.3
106.1,1.77,98.99,13.297,1.974,1.0,29.54
109.6,1.83,98.96,13.266,1.691,0.919,29.14
113.2,1.89,98.92,13.272,1.833,0.871,28.94
116.7,1.94,98.88,13.309,1.578,0.656,29.27
120.2,2.0,98.85,13.303,1.72,0.722,29.64
123.8,2.06,98.81,13.308,1.412,0.766,29.14
127.3,2.12,98.77,13.326,1.523,0.735,29.19
130.8,2.18,98.74,13.283,1.905,0.878,29.46
134.4,2.24,98.7,13.252,2.539,1.133,29.7
137.9,2.3,98.66,13.318,0.94,0.0,29.59
141.4,2.36,98.62,13.356,0.299,0.019,28.7
