Time (s),Voltage (V),Current (A),Temp (C),SoC
1.08,0.0,0.37,26.4,100.0
2.16,0.0,0.35,26.4,100.0
3.25,0.0,1.18,26.4,99.9
4.33,10.2,0.76,26.4,99.9
5.41,10.24,0.74,26.4,99.8
6.49,10.13,0.78,26.4,99.8
7.58,10.22,0.76,26.4,99.7
8.66,10.2,0.75,26.4,99.7
9.74,10.2,0.77,26.4,99.6
10.82,10.23,0.74,26.4,99.6
11.9,10.21,0.75,26.5,99.6
12.98,10.21,0.76,26.5,99.5
14.07,10.23,0.78,26.4,99.5
15.15,10.23,0.77,26.4,99.4
16.23,10.23,0.78,25.0,99.4
17.31,10.23,0.73,25.0,99.3
18.4,10.22,0.75,25.0,99.3
19.48,10.21,0.77,25.0,99.2
20.56,10.21,0.78,25.0,99.2
21.64,10.19,0.77,25.0,99.2
22.73,10.22,0.75,25.0,99.1
23.81,10.2,0.75,25.0,99.1
24.89,10.21,0.75,25.0,99.0
25.97,10.18,0.78,25.0,99.0
27.06,10.2,0.75,25.0,98.9
28.14,10.21,0.77,25.0,98.9
29.22,10.2,0.75,25.0,98.8
30.3,10.21,0.76,25.0,98.8
31.39,10.22,0.74,25.0,98.8
32.47,10.19,0.75,25.0,98.7
33.55,10.19,0.76,25.0,98.7
34.63,10.21,0.75,25.0,98.6
35.72,10.19,0.75,25.0,98.6
36.8,10.21,0.76,25.0,98.5
37.88,10.17,0.76,25.0,98.5
38.96,10.2,0.75,25.0,98.4
40.04,10.18,0.75,25.0,98.4
41.13,10.2,0.77,25.0,98.4
42.21,10.19,0.77,25.0,98.3
43.29,10.23,0.76,25.0,98.3
44.37,10.22,0.77,25.0,98.2
45.45,10.16,0.74,25.0,98.2
46.54,10.17,0.74,25.0,98.1
47.62,10.19,0.77,25.0,98.1
48.7,10.18,0.78,25.0,98.0
49.78,10.18,0.77,25.0,98.0
50.87,10.2,0.74,25.0,98.0
51.95,10.19,0.74,25.0,97.9
53.03,10.2,0.73,25.0,97.9
54.11,10.2,0.77,25.0,97.8
55.2,10.22,0.76,25.0,97.8
56.28,10.18,0.76,25.0,97.7
57.36,10.16,0.73,25.0,97.7
58.44,10.18,0.75,25.0,97.6
59.52,10.2,0.75,25.0,97.6
60.6,10.2,0.76,25.0,97.6
61.69,10.16,0.75,25.0,97.5
62.77,10.18,0.77,25.0,97.5
63.85,10.16,0.77,25.0,97.4
64.93,10.16,0.74,25.0,97.4
66.02,10.17,0.74,25.0,97.3
67.1,10.21,0.76,25.0,97.3
68.18,10.15,0.73,25.0,97.2
69.26,10.18,0.74,25.0,97.2
70.35,10.19,0.75,25.0,97.2
71.43,10.17,0.76,25.0,97.1
72.51,10.2,0.75,25.0,97.1
73.59,10.18,0.74,25.0,97.0
74.68,10.16,0.74,25.0,97.0
75.75,10.13,0.74,25.0,96.9
76.84,10.17,0.74,25.0,96.9
77.92,10.14,0.73,25.0,96.8
79.0,10.21,0.75,25.0,96.8
80.08,10.19,0.75,25.0,96.8
81.17,10.16,0.74,25.0,96.7
82.25,10.16,0.75,25.0,96.7
83.33,10.16,0.74,25.0,96.6
84.41,10.2,0.73,25.0,96.6
85.5,10.15,0.76,25.0,96.5
86.58,10.16,0.73,25.0,96.5
87.66,10.18,0.75,25.0,96.4
88.74,10.15,0.74,25.0,96.4
89.83,10.18,0.74,25.0,96.4
90.91,10.14,0.74,25.0,96.3
91.99,10.15,0.76,25.0,96.3
93.07,10.16,0.77,25.0,96.2
94.16,10.15,0.77,25.0,96.2
95.24,10.17,0.76,25.0,96.1
96.32,10.14,0.73,25.0,96.1
97.4,10.16,0.77,25.0,96.0
98.49,10.15,0.77,25.0,96.0
99.57,10.16,0.75,25.0,96.0
100.65,10.15,0.77,25.0,95.9
101.73,10.13,0.77,25.0,95.9
102.81,10.13,0.74,25.0,95.8
103.89,10.14,0.75,25.0,95.8
104.98,10.16,0.73,25.0,95.7
106.06,10.14,0.76,25.0,95.7
107.14,10.13,0.74,25.0,95.6
108.22,10.15,0.76,25.0,95.6
109.31,10.16,0.75,25.0,95.6
110.39,10.13,0.75,25.0,95.5
111.47,10.12,0.75,25.0,95.5
112.55,10.14,0.75,25.0,95.4
113.64,10.14,0.79,25.0,95.4
114.72,10.14,0.75,25.0,95.3
115.8,10.15,0.77,25.0,95.3
116.88,10.14,0.78,25.0,95.2
117.96,10.14,0.76,25.0,95.2
119.05,10.14,0.75,25.0,95.2
120.13,10.14,0.76,25.0,95.1
121.21,10.13,0.76,25.0,95.1
122.29,10.14,0.78,25.0,95.0
123.38,10.15,0.74,25.0,95.0
124.46,10.13,0.77,25.0,94.9
125.54,10.14,0.77,25.0,94.9
126.62,10.12,0.73,25.0,94.8
127.7,10.14,0.75,25.0,94.8
128.79,10.15,0.76,25.0,94.8
129.87,10.11,0.76,25.0,94.7
130.95,10.13,0.72,25.0,94.7
132.04,10.16,0.73,25.0,94.6
133.12,10.15,0.78,25.0,94.6
134.2,10.11,0.74,25.0,94.5
135.28,10.12,0.76,25.0,94.5
136.36,10.13,0.77,25.0,94.4
137.45,10.16,0.76,25.0,94.4
138.53,10.12,0.75,25.0,94.4
139.61,10.13,0.72,25.0,94.3
140.69,10.12,0.76,25.0,94.3
141.78,10.15,0.78,25.0,94.2
142.86,10.12,0.75,25.0,94.2
143.94,10.11,0.74,25.0,94.1
145.02,10.14,0.74,25.0,94.1
146.11,10.12,0.77,25.0,94.0
147.19,10.11,0.76,25.0,94.0
148.27,10.11,0.75,25.0,94.0
149.35,10.13,0.74,25.0,93.9
150.43,10.11,0.71,25.0,93.9
151.52,10.13,0.73,25.0,93.8
152.6,10.12,0.73,25.0,93.8
153.68,10.13,0.76,25.0,93.7
154.76,10.11,0.77,25.0,93.7
155.84,10.1,0.75,25.0,93.6
156.93,10.13,0.75,25.0,93.6
158.01,10.11,0.74,25.0,93.6
159.09,10.13,0.75,25.0,93.5
160.17,10.1,0.75,25.0,93.5
161.26,10.1,0.74,25.0,93.4
162.34,10.11,0.75,25.0,93.4
163.42,10.11,0.73,25.0,93.3
164.5,10.1,0.75,25.0,93.3
165.59,10.1,0.76,25.0,93.2
166.67,10.12,0.74,25.0,93.2
167.75,10.12,0.74,25.0,93.2
168.83,10.09,0.77,25.0,93.1
169.91,10.11,0.77,25.0,93.1
171.0,10.1,0.77,25.0,93.0
172.08,10.1,0.71,25.0,93.0
173.16,10.12,0.77,25.0,92.9
174.24,10.1,0.76,25.0,92.9
175.32,10.09,0.73,25.0,92.8
176.41,10.12,0.73,25.0,92.8
177.49,10.12,0.75,25.0,92.8
178.57,10.09,0.74,25.0,92.7
179.65,10.11,0.76,25.0,92.7
180.74,10.1,0.76,25.0,92.6
181.82,10.1,0.79,25.0,92.6
182.9,10.09,0.74,25.0,92.5
183.98,10.11,0.76,25.0,92.5
185.07,10.12,0.75,25.0,92.4
186.15,10.09,0.76,25.0,92.4
187.23,10.11,0.77,25.0,92.4
188.31,10.11,0.75,25.0,92.3
189.4,10.11,0.74,25.0,92.3
190.48,10.1,0.76,25.0,92.2
191.56,10.09,0.76,25.0,92.2
192.64,10.1,0.75,25.0,92.1
193.72,10.1,0.75,25.0,92.1
194.8,10.11,0.75,25.0,92.0
195.89,10.11,0.75,25.0,92.0
196.97,10.11,0.76,25.0,92.0
198.05,10.12,0.74,25.0,91.9
199.13,10.1,0.76,25.0,91.9
200.22,10.1,0.74,25.0,91.8
201.3,10.09,0.74,25.0,91.8
202.38,10.11,0.76,25.0,91.7
203.46,10.1,0.75,25.0,91.7
204.55,10.11,0.74,25.0,91.6
205.63,10.12,0.76,25.0,91.6
206.71,10.1,0.76,25.0,91.6
207.79,10.1,0.77,25.0,91.5
208.88,10.1,0.75,25.0,91.5
209.96,10.09,0.76,25.0,91.4
211.04,10.1,0.76,25.0,91.4
212.12,10.11,0.74,25.0,91.3
213.2,10.09,0.74,25.0,91.3
214.28,10.09,0.74,25.0,91.2
215.37,10.1,0.75,25.0,91.2
216.45,10.1,0.77,25.0,91.2
217.53,10.08,0.74,25.0,91.1
218.61,10.12,0.75,25.0,91.1
219.7,10.1,0.76,25.0,91.0
220.78,10.09,0.77,25.0,91.0
221.86,10.11,0.77,25.0,90.9
222.94,10.1,0.75,25.0,90.9
224.03,10.12,0.76,25.0,90.8
225.11,10.07,0.76,25.0,90.8
226.19,10.09,0.77,25.0,90.8
227.27,10.09,0.76,25.0,90.7
228.36,10.11,0.75,25.0,90.7
229.44,10.1,0.76,25.0,90.6
230.52,10.08,0.78,25.0,90.6
231.6,10.08,0.77,25.0,90.5
232.68,10.1,0.76,25.0,90.5
233.76,10.08,0.75,25.0,90.4
234.85,10.08,0.76,25.0,90.4
235.93,10.08,0.74,25.0,90.4
237.01,10.08,0.74,25.0,90.3
238.09,10.11,0.77,25.0,90.3
239.18,10.09,0.75,25.0,90.2
240.26,10.08,0.76,25.0,90.2
241.34,10.09,0.76,25.0,90.1
242.42,10.1,0.74,25.0,90.1
243.51,10.1,0.75,25.0,90.0
244.59,10.08,0.75,25.0,90.0
245.67,10.07,0.75,25.0,90.0
246.75,10.09,0.74,25.0,89.9
247.84,10.08,0.75,25.0,89.9
248.91,10.07,0.77,25.0,89.8
250.0,10.06,0.73,25.0,89.8
251.08,10.1,0.73,25.0,89.7
252.16,10.11,0.76,25.0,89.7
253.25,10.07,0.78,25.0,89.6
254.33,10.09,0.75,25.0,89.6
255.41,10.09,0.73,25.0,89.6
256.49,10.09,0.72,25.0,89.5
257.57,10.1,0.77,25.0,89.5
258.66,10.09,0.76,25.0,89.4
259.74,10.08,0.74,25.0,89.4
260.82,10.08,0.76,25.0,89.3
261.9,10.11,0.75,25.0,89.3
262.99,10.1,0.73,25.0,89.2
264.07,10.11,0.76,25.0,89.2
265.15,10.08,0.75,25.0,89.2
266.23,10.07,0.75,25.0,89.1
267.32,10.08,0.75,25.0,89.1
268.4,10.1,0.74,25.0,89.0
269.48,10.08,0.74,25.0,89.0
270.56,10.07,0.75,25.0,88.9
271.64,10.07,0.76,25.0,88.9
272.73,10.1,0.75,25.0,88.8
273.81,10.07,0.74,25.0,88.8
274.89,10.06,0.75,25.0,88.8
275.97,10.09,0.76,25.0,88.7
277.05,10.09,0.76,25.0,88.7
278.14,10.09,0.76,25.0,88.6
279.22,10.08,0.76,25.0,88.6
280.3,10.07,0.75,25.0,88.5
281.38,10.08,0.75,25.0,88.5
282.47,10.07,0.77,25.0,88.4
283.55,10.07,0.77,25.0,88.4
284.63,10.07,0.78,25.0,88.4
285.71,10.07,0.75,25.0,88.3
286.8,10.08,0.76,25.0,88.3
287.88,10.08,0.75,25.0,88.2
288.96,10.1,0.72,25.0,88.2
290.04,10.06,0.79,25.0,88.1
291.13,10.09,0.72,25.0,88.1
292.21,10.07,0.75,25.0,88.0
293.29,10.06,0.76,25.0,88.0
294.37,10.05,0.77,25.0,88.0
295.46,10.06,0.74,25.0,87.9
296.54,10.06,0.77,25.0,87.9
297.62,10.07,0.76,25.0,87.8
298.7,10.06,0.75,25.0,87.8
299.79,10.04,0.75,25.0,87.7
300.87,10.08,0.77,25.0,87.7
301.95,10.06,0.77,25.0,87.6
303.03,10.05,0.79,25.0,87.6
304.11,10.07,0.75,25.0,87.6
305.2,10.09,0.77,25.0,87.5
306.28,10.07,0.76,25.0,87.5
307.36,10.06,0.77,25.0,87.4
308.45,10.07,0.75,25.0,87.4
309.52,10.09,0.75,25.0,87.3
310.61,10.06,0.75,25.0,87.3
311.69,10.07,0.74,25.0,87.2
312.77,10.06,0.76,25.0,87.2
313.85,10.06,0.75,25.0,87.2
314.94,10.08,0.74,25.0,87.1
316.02,10.05,0.74,25.0,87.1
317.1,10.07,0.74,25.0,87.0
318.18,10.07,0.75,25.0,87.0
319.27,10.08,0.73,25.0,86.9
320.35,10.04,0.73,25.0,86.9
321.43,10.07,0.74,25.0,86.8
322.51,10.06,0.72,25.0,86.8
323.6,10.06,0.74,25.0,86.8
324.68,10.07,0.75,25.0,86.7
325.76,10.07,0.75,25.0,86.7
326.84,10.09,0.75,25.0,86.6
327.92,10.1,0.75,25.0,86.6
329.01,10.1,0.76,25.0,86.5
330.09,10.08,0.75,25.0,86.5
331.17,10.06,0.77,25.0,86.4
332.26,10.06,0.74,25.0,86.4
333.33,10.06,0.73,25.0,86.4
334.42,10.08,0.75,25.0,86.3
335.5,10.05,0.78,25.0,86.3
336.58,10.05,0.76,25.0,86.2
337.66,10.07,0.74,25.0,86.2
338.75,10.03,0.77,25.0,86.1
339.83,10.07,0.77,25.0,86.1
340.91,10.06,0.76,25.0,86.0
341.99,10.07,0.76,25.0,86.0
343.08,10.05,0.74,25.0,86.0
344.16,10.03,0.75,25.0,85.9
345.24,10.06,0.77,25.0,85.9
346.32,10.09,0.75,25.0,85.8
347.41,10.05,0.74,25.0,85.8
348.49,10.04,0.75,25.0,85.7
349.57,10.05,0.75,25.0,85.7
350.65,10.06,0.72,25.0,85.6
351.73,10.07,0.74,25.0,85.6
352.82,10.07,0.74,25.0,85.6
353.9,10.07,0.74,25.0,85.5
354.98,10.08,0.74,25.0,85.5
356.06,10.05,0.73,25.0,85.4
357.14,10.05,0.75,25.0,85.4
358.23,10.05,0.77,25.0,85.3
359.31,10.07,0.76,25.0,85.3
360.39,10.06,0.73,25.0,85.2
