time_s,time_min,soc_percent,voltage_V,current_A,speed_mps,temperature_C
0.0,0.0,100.08,13.206,0.312,0.003,28.93
0.1,0.0016666666666666668,99.33,13.176,0.326,0.01,29.74
0.2,0.0033333333333333335,99.33,13.194,0.699,0.148,29.9
0.3,0.005,99.33,13.183,0.836,0.223,29.27
0.4,0.006666666666666667,99.33,13.225,0.873,0.227,29.56
0.5,0.008333333333333333,99.33,13.205,0.861,0.187,29.63
0.6,0.01,99.33,13.179,1.007,0.361,29.47
0.7,0.011666666666666665,99.33,13.213,0.682,0.313,29.32
0.8,0.013333333333333334,99.29,13.202,1.181,0.474,29.88
0.9,0.015000000000000001,99.29,13.214,0.967,0.368,29.52
1.0,0.016666666666666666,98.84,13.178,1.351,0.577,29.75
1.1,0.018333333333333333,98.84,13.179,1.226,0.553,29.74
1.2,0.02,98.84,13.16,1.106,0.505,29.99
1.3,0.021666666666666667,98.84,13.184,1.533,0.63,29.87
1.4,0.02333333333333333,98.84,13.135,1.698,0.71,30.13
1.5,0.025,98.84,13.206,1.569,0.778,30.02
1.6,0.02666666666666667,98.63,13.187,1.678,0.728,30.21
1.7,0.028333333333333332,98.63,13.215,1.666,0.768,29.97
1.8,0.030000000000000002,98.63,13.166,1.919,0.923,30.05
1.9,0.03166666666666666,98.63,13.149,2.042,0.92,30.08
2.0,0.03333333333333333,98.63,13.188,2.146,1.027,30.37
2.1,0.035,98.63,13.178,2.251,1.119,30.41
2.2,0.03666666666666667,98.63,13.195,2.068,0.977,30.21
2.3,0.03833333333333333,98.62,13.17,2.187,1.18,30.4
2.4,0.04,98.62,13.203,2.586,1.308,31.18
2.5,0.041666666666666664,98.62,13.16,2.476,1.236,30.72
2.6,0.043333333333333335,98.62,13.142,2.377,1.246,30.0
2.7,0.045000000000000005,98.43,13.15,2.882,1.421,31.09
2.8,0.04666666666666666,98.09,13.154,2.912,1.432,30.82
2.9,0.04833333333333333,98.09,13.166,2.99,1.533,30.58
3.0,0.05,98.09,13.148,2.954,1.484,31.15
3.1,0.051666666666666666,98.0,13.177,2.982,1.444,30.81
3.2,0.05333333333333334,98.0,13.154,3.317,1.604,31.29
3.3,0.055,98.0,13.155,3.14,1.628,30.78
3.4,0.056666666666666664,98.0,13.205,3.539,1.776,31.44
3.5,0.058333333333333334,98.0,13.16,3.629,1.78,31.16
3.6,0.060000000000000005,98.0,13.174,3.329,1.684,31.29
3.7,0.06166666666666667,98.0,13.174,3.394,1.769,31.29
3.8,0.06333333333333332,97.88,13.153,3.784,1.986,31.04
3.9,0.065,97.88,13.163,3.899,2.02,31.49
4.0,0.06666666666666667,97.42,13.16,3.714,1.965,31.4
4.1,0.06833333333333333,97.42,13.093,4.262,2.066,31.6
4.2,0.07,97.42,13.145,4.107,2.153,31.08
4.3,0.07166666666666667,97.42,13.162,4.315,2.205,31.72
4.4,0.07333333333333333,97.34,13.191,4.441,2.288,31.65
4.5,0.075,97.34,13.154,4.497,2.289,32.06
4.6,0.07666666666666666,97.24,13.116,4.414,2.311,31.45
4.7,0.07833333333333334,97.24,13.148,4.371,2.348,31.94
4.8,0.08,97.24,13.156,5.004,2.504,32.11
4.9,0.08166666666666668,97.24,13.105,4.412,2.29,32.35
5.0,0.08333333333333333,97.24,13.154,4.83,2.509,31.72
5.1,0.08499999999999999,97.24,13.173,4.956,2.573,32.29
5.2,0.08666666666666667,97.24,13.16,4.964,2.507,31.92
5.3,0.08833333333333333,97.24,13.137,5.249,2.698,31.99
5.4,0.09000000000000001,97.24,13.157,5.246,2.67,32.5
5.5,0.09166666666666666,97.06,13.129,5.513,2.841,32.54
5.6,0.09333333333333332,97.06,13.154,5.381,2.813,32.57
5.7,0.095,97.06,13.125,5.598,2.927,32.04
5.8,0.09666666666666666,97.06,13.139,5.649,3.021,32.17
5.9,0.09833333333333334,97.06,13.129,5.476,3.004,32.52
6.0,0.1,96.99,13.137,5.589,2.954,32.23
6.1,0.10166666666666666,96.99,13.104,5.488,2.953,32.71
6.2,0.10333333333333333,96.99,13.134,6.488,3.265,33.4
6.3,0.105,96.98,13.12,6.187,3.167,32.77
6.4,0.10666666666666667,96.7,13.128,6.148,3.171,32.79
6.5,0.10833333333333334,96.7,13.124,6.152,3.288,32.8
6.6,0.11,96.39,13.119,6.508,3.311,32.93
6.7,0.11166666666666666,96.39,13.111,6.206,3.395,32.81
6.8,0.11333333333333333,96.39,13.091,6.075,3.289,32.69
6.9,0.115,96.39,13.12,6.051,3.247,32.84
7.0,0.11666666666666667,96.39,13.118,5.853,3.149,32.53
7.1,0.11833333333333333,96.39,13.117,6.081,3.203,32.63
7.2,0.12000000000000001,96.39,13.108,5.8,3.042,32.51
7.3,0.12166666666666666,96.39,13.115,6.178,3.138,32.66
7.4,0.12333333333333334,96.39,13.128,6.119,3.166,32.76
7.5,0.125,95.55,13.081,5.635,2.882,32.63
7.6,0.12666666666666665,95.55,13.091,5.33,2.766,32.83
7.7,0.12833333333333333,95.55,13.08,5.634,2.973,32.09
7.8,0.13,95.55,13.086,5.774,3.087,32.24
7.9,0.13166666666666668,95.55,13.092,5.092,2.763,32.16
8.0,0.13333333333333333,95.55,13.067,5.06,2.702,32.16
8.1,0.13499999999999998,95.55,13.137,5.311,2.809,32.3
8.2,0.13666666666666666,95.55,13.081,5.17,2.655,32.69
8.3,0.13833333333333334,95.55,13.098,4.852,2.641,31.58
8.4,0.14,95.55,13.077,4.84,2.613,31.99
8.5,0.14166666666666666,95.55,13.141,5.085,2.644,31.86
8.6,0.14333333333333334,95.55,13.125,4.725,2.528,31.89
8.7,0.145,95.55,13.131,4.917,2.543,32.21
8.8,0.14666666666666667,95.55,13.101,4.689,2.466,31.58
8.9,0.14833333333333334,95.42,13.1,4.48,2.372,32.08
9.0,0.15,95.42,13.073,4.413,2.374,31.57
9.1,0.15166666666666667,95.29,13.086,4.398,2.283,31.51
9.2,0.15333333333333332,95.29,13.069,4.387,2.319,31.36
9.3,0.155,95.29,13.089,4.166,2.189,31.46
9.4,0.15666666666666668,95.29,13.102,4.095,2.151,31.41
9.5,0.15833333333333333,94.96,13.072,4.488,2.314,32.04
9.6,0.16,94.96,13.049,4.194,2.153,31.27
9.7,0.16166666666666665,94.96,13.062,3.898,2.113,31.54
9.8,0.16333333333333336,94.96,13.078,4.093,2.118,31.81
9.9,0.165,94.96,13.042,3.953,2.003,31.46
10.0,0.16666666666666666,94.96,13.03,3.985,1.978,31.73
10.1,0.16833333333333333,94.96,13.051,3.976,1.99,31.36
10.2,0.16999999999999998,94.96,13.069,3.814,1.938,31.54
10.3,0.1716666666666667,94.96,13.074,3.371,1.783,31.09
10.4,0.17333333333333334,94.96,13.057,3.631,1.902,31.87
10.5,0.175,94.71,13.036,3.555,1.747,31.22
10.6,0.17666666666666667,94.42,13.022,3.221,1.67,31.02
