Time_s,SoC_%,Voltage_V,Current_A,Speed_mps,Temperature_C
0.0,100.0,13.382,0.413,0.0,29.14
3.6,99.95,13.412,0.458,0.037,29.22
7.2,99.9,13.393,0.614,0.127,29.14
10.8,99.86,13.414,0.268,0.0,28.76
14.4,99.81,13.392,0.367,0.015,29.1
18.0,99.76,13.408,0.526,0.013,29.25
21.6,99.71,13.371,0.568,0.119,29.34
25.2,99.66,13.411,0.553,0.127,29.16
28.8,99.62,13.371,0.822,0.183,28.85
32.4,99.57,13.351,0.908,0.227,29.01
36.0,99.52,13.39,0.994,0.333,29.76
39.6,99.47,13.369,0.891,0.31,29.1
43.2,99.42,13.385,1.136,0.457,29.69
46.8,99.38,13.381,0.988,0.406,29.16
50.4,99.33,13.343,1.1,0.47,29.35
54.0,99.28,13.346,1.224,0.519,29.56
57.6,99.23,13.327,1.641,0.776,29.41
61.2,99.18,13.356,1.464,0.715,29.83
64.8,99.14,13.334,1.552,0.789,29.56
68.4,99.09,13.322,1.685,0.775,29.69
72.0,99.04,13.324,1.503,0.676,29.48
75.6,98.99,13.311,1.773,0.765,29.76
79.2,98.94,13.349,1.401,0.625,29.81
82.8,98.9,13.332,1.312,0.545,29.44
86.4,98.85,13.323,1.349,0.559,29.82
90.0,98.8,13.307,1.581,0.663,29.44
93.6,98.75,13.354,0.617,0.0,29.37
97.2,98.7,13.345,0.518,0.035,29.28
100.9,98.65,13.358,0.435,0.0,28.94
104.5,98.61,13.393,0.38,0.0,29.18
108.1,98.56,13.366,0.371,0.0,29.14
111.7,98.51,13.382,0.291,0.0,28.94
115.3,98.46,13.331,0.34,0.0,29.2
118.9,98.41,13.372,0.408,0.02,29.18
122.5,98.37,13.355,0.489,0.105,29.16
126.1,98.32,13.346,0.551,0.063,29.19
129.7,98.27,13.343,0.774,0.166,29.26
133.3,98.22,13.351,0.39,0.013,29.07
136.9,98.17,13.323,0.424,0.0,29.18
140.5,98.13,13.372,0.345,0.017,29.0
144.1,98.08,13.358,0.39,0.0,29.68
147.7,98.03,13.343,0.497,0.075,28.9
151.3,97.98,13.323,0.659,0.13,29.12
154.9,97.93,13.322,0.516,0.086,29.09
158.5,97.88,13.346,0.503,0.0,29.59
162.1,97.84,13.371,0.395,0.0,28.88
165.7,97.79,13.344,0.475,0.058,29.26
169.3,97.74,13.317,0.527,0.138,29.24
172.9,97.69,13.336,0.593,0.087,29.28
176.5,97.64,13.335,0.493,0.0,29.43
180.1,97.59,13.351,0.434,0.0,29.4
183.7,97.55,13.334,0.657,0.048,29.15
187.3,97.5,13.285,0.531,0.003,29.23
190.9,97.45,13.345,0.376,0.0,28.77
194.5,97.4,13.32,0.375,0.0,29.16
198.1,97.35,13.308,0.463,0.0,29.01
201.7,97.3,13.322,0.533,0.101,29.16
205.3,97.26,13.319,0.743,0.153,28.93
208.9,97.21,13.295,0.575,0.082,29.29
212.5,97.16,13.329,0.574,0.09,28.87
216.1,97.11,13.322,0.699,0.118,29.29
219.7,97.06,13.292,1.052,0.31,29.13
223.3,97.01,13.293,0.738,0.188,29.1
226.9,96.97,13.288,0.765,0.214,29.51
230.5,96.92,13.3,1.092,0.314,29.51
234.1,96.87,13.251,1.286,0.49,29.69
237.7,96.82,13.3,1.066,0.413,29.7
241.3,96.77,13.283,0.994,0.366,29.21
244.9,96.72,13.275,1.149,0.443,29.71
248.5,96.68,13.263,0.889,0.266,29.03
252.1,96.63,13.287,0.847,0.304,29.46
255.7,96.58,13.278,1.218,0.543,29.34
259.3,96.53,13.242,1.329,0.593,29.29
262.9,96.48,13.287,0.951,0.337,29.47
266.5,96.43,13.288,0.775,0.24,29.47
270.1,96.38,13.278,0.73,0.166,29.45
273.7,96.34,13.291,0.884,0.294,29.37
277.3,96.29,13.243,0.911,0.275,29.36
280.9,96.24,13.301,0.472,0.074,29.28
284.5,96.19,13.319,0.474,0.068,29.24
288.1,96.14,13.309,0.591,0.083,29.33
291.7,96.09,13.296,0.506,0.023,29.23
295.3,96.04,13.29,0.4,0.0,29.32
298.9,96.0,13.258,0.911,0.255,29.01
302.6,95.95,13.247,1.199,0.356,29.41
306.2,95.9,13.259,1.17,0.468,29.15
309.8,95.85,13.242,1.087,0.449,29.45
313.4,95.8,13.268,1.012,0.37,29.7
317.0,95.75,13.289,0.965,0.316,29.26
320.6,95.7,13.27,0.657,0.163,29.27
324.2,95.65,13.232,1.004,0.352,29.52
327.8,95.61,13.238,0.861,0.338,28.9
331.4,95.56,13.254,1.141,0.494,29.31
335.0,95.51,13.242,1.101,0.445,29.47
338.6,95.46,13.25,1.2,0.497,28.86
342.2,95.41,13.227,1.22,0.519,29.25
345.8,95.36,13.258,0.964,0.354,29.57
349.4,95.31,13.223,1.343,0.561,29.69
353.0,95.26,13.213,1.34,0.515,29.56
356.6,95.21,13.233,1.018,0.382,29.55
360.2,95.17,13.211,1.186,0.46,29.48
363.8,95.12,13.262,1.101,0.459,29.51
367.4,95.07,13.221,1.258,0.5,29.4
371.0,95.02,13.228,1.305,0.51,29.5
374.6,94.97,13.226,0.979,0.264,29.23
378.2,94.92,13.227,0.77,0.163,29.54
381.8,94.87,13.249,0.541,0.058,29.51
385.4,94.82,13.26,0.689,0.168,29.54
389.0,94.77,13.234,0.709,0.171,29.19
