timestamp,SoC_%,Voltage_V,Current_A,Speed_mps,Temperature_C
0,100.0,13.395,0.664,0.0,28.65
3543,99.99,13.37,0.876,0.197,28.72
7086,99.97,13.39,0.965,0.319,28.58
10629,99.95,13.376,1.239,0.436,28.97
14173,99.93,13.358,1.746,0.626,29.27
17716,99.9,13.337,1.698,0.671,29.0
21259,99.88,13.334,1.766,0.832,29.09
24802,99.86,13.3,1.852,0.865,28.91
28346,99.84,13.319,1.816,0.908,29.43
31889,99.81,13.306,1.686,0.83,28.98
35432,99.79,13.329,1.825,0.802,29.12
38975,99.76,13.263,2.379,1.011,29.69
42519,99.74,13.276,2.404,1.024,29.31
46062,99.71,13.233,2.961,1.359,29.25
49605,99.69,13.229,3.106,1.566,29.42
53149,99.66,13.244,3.063,1.581,29.52
56692,99.63,13.221,3.174,1.582,29.99
60235,99.61,13.25,2.89,1.484,29.59
63778,99.58,13.252,2.528,1.343,29.37
67322,99.55,13.26,2.988,1.409,29.75
70865,99.53,13.223,3.071,1.517,29.87
74408,99.5,13.236,3.268,1.625,29.53
77951,99.47,13.263,3.083,1.57,29.91
81495,99.44,13.19,3.126,1.541,29.81
85038,99.41,13.205,3.23,1.641,29.77
88581,99.39,13.2,3.493,1.794,29.29
92125,99.36,13.219,3.525,1.74,29.82
95668,99.33,13.208,3.261,1.62,29.97
99211,99.3,13.231,3.09,1.601,29.58
102754,99.27,13.195,3.387,1.719,30.2
106298,99.24,13.242,2.919,1.521,29.59
109841,99.21,13.204,3.085,1.653,29.44
113384,99.18,13.233,3.121,1.588,29.77
116927,99.15,13.164,3.279,1.598,29.77
120471,99.12,13.202,2.906,1.4,29.75
124014,99.09,13.274,2.633,1.401,29.45
127557,99.06,13.237,2.821,1.4,29.82
131101,99.03,13.211,2.961,1.442,29.5
134644,99.0,13.247,3.135,1.592,29.7
138187,98.97,13.236,3.02,1.652,29.38
141730,98.94,13.239,2.973,1.486,29.46
145274,98.91,13.198,3.248,1.623,29.76
148817,98.88,13.219,3.143,1.612,29.55
152360,98.85,13.219,3.101,1.648,29.58
155903,98.82,13.175,3.271,1.767,29.69
159447,98.78,13.21,3.245,1.585,29.78
162990,98.75,13.208,3.068,1.547,29.82
166533,98.72,13.222,3.187,1.63,29.87
170077,98.69,13.23,3.044,1.596,29.87
173620,98.66,13.189,3.218,1.632,29.77
177163,98.63,13.188,3.228,1.708,29.62
180706,98.59,13.197,3.266,1.665,29.43
184250,98.56,13.185,3.56,1.908,29.78
187793,98.53,13.169,3.544,1.729,29.69
191336,98.5,13.21,2.923,1.483,29.27
194879,98.47,13.208,3.13,1.574,30.04
198423,98.43,13.209,3.036,1.535,29.31
201966,98.4,13.219,3.055,1.609,29.76
205509,98.37,13.19,3.285,1.598,29.88
209053,98.34,13.202,2.78,1.477,29.55
212596,98.3,13.159,3.255,1.612,30.29
216139,98.27,13.185,3.467,1.711,29.84
219682,98.24,13.158,3.6,1.833,29.73
223226,98.2,13.191,3.039,1.653,30.05
226769,98.17,13.167,3.428,1.735,29.67
230312,98.14,13.144,3.478,1.743,29.56
233855,98.1,13.168,3.366,1.613,29.61
237399,98.07,13.165,2.832,1.453,29.5
240942,98.04,13.218,2.481,1.269,29.52
244485,98.0,13.173,3.101,1.504,29.8
248029,97.97,13.204,3.257,1.637,29.48
251572,97.94,13.16,3.632,1.792,29.99
255115,97.9,13.155,3.529,1.869,30.34
258658,97.87,13.171,3.341,1.692,29.68
262202,97.83,13.156,3.71,1.901,29.92
265745,97.8,13.149,3.428,1.845,30.0
269288,97.77,13.14,3.702,2.007,30.2
272831,97.73,13.141,3.631,1.878,29.79
276375,97.7,13.197,3.412,1.777,29.66
279918,97.66,13.151,3.542,1.817,29.7
283461,97.63,13.132,3.324,1.736,30.05
287005,97.59,13.165,3.458,1.75,30.06
290548,97.56,13.196,3.396,1.847,29.42
294091,97.53,13.153,3.181,1.807,29.35
297634,97.49,13.203,3.473,1.841,29.64
301178,97.46,13.143,3.545,1.844,29.61
304721,97.42,13.163,3.47,1.798,29.98
308264,97.39,13.15,3.269,1.676,29.87
311807,97.35,13.167,3.035,1.524,30.14
315351,97.32,13.143,3.176,1.567,29.96
318894,97.28,13.16,2.915,1.512,29.73
322437,97.25,13.132,3.083,1.572,30.01
325980,97.21,13.17,3.289,1.728,29.66
329524,97.18,13.122,3.472,1.695,29.62
333067,97.14,13.164,3.144,1.578,29.8
336610,97.1,13.173,2.962,1.488,29.92
340154,97.07,13.149,3.103,1.517,29.46
343697,97.03,13.144,3.339,1.629,30.05
347240,97.0,13.14,3.353,1.76,30.05
350783,96.96,13.127,3.457,1.781,29.81
354327,96.93,13.127,3.585,1.766,30.0
357870,96.89,13.154,3.108,1.479,29.74
361413,96.85,13.155,2.8,1.392,29.71
364956,96.82,13.139,2.97,1.471,29.92
368500,96.78,13.124,3.322,1.689,29.72
372043,96.75,13.147,3.169,1.664,30.04
375586,96.71,13.165,3.189,1.632,30.01
379130,96.67,13.167,3.148,1.658,30.01
382673,96.64,13.137,3.344,1.691,29.5
386216,96.6,13.139,3.455,1.818,29.56
389759,96.56,13.114,3.635,1.875,30.14
393303,96.53,13.156,3.177,1.623,29.72
396846,96.49,13.13,3.329,1.698,29.76
400389,96.45,13.124,3.478,1.807,29.8
403932,96.42,13.117,3.403,1.781,29.66
407476,96.38,13.127,3.297,1.735,29.84
411019,96.34,13.154,3.323,1.808,29.76
414562,96.31,13.106,3.304,1.617,29.77
418106,96.27,13.139,3.042,1.595,29.91
421649,96.23,13.119,3.207,1.673,29.63
425192,96.2,13.151,3.047,1.536,30.05
428735,96.16,13.177,2.822,1.396,29.29
432279,96.12,13.121,3.185,1.569,30.38
435822,96.08,13.051,3.698,1.834,29.77
439365,96.05,13.1,3.737,1.912,30.19
442908,96.01,13.095,3.81,1.91,30.28
446452,95.97,13.047,3.99,2.059,30.16
449995,95.93,13.07,3.967,1.991,30.31
453538,95.9,13.102,3.458,1.727,29.96
457082,95.86,13.084,3.155,1.505,29.52
460625,95.82,13.142,2.952,1.467,29.88
464168,95.78,13.135,2.991,1.481,30.05
467711,95.75,13.144,2.759,1.365,29.63
471255,95.71,13.109,2.993,1.526,29.48
