time,time_count,voltage,current,temp,soc
20:10:34,0sec,12.02,1.53,25.0,83.9
20:10:35,1sec,12.1,0.77,25.0,86.1
20:10:36,2sec,11.67,0.13,25.0,74.2
20:10:37,3sec,11.71,0.13,25.0,75.3
20:10:38,4sec,11.66,0.88,25.0,73.9
20:10:39,5sec,11.51,1.93,25.0,69.7
20:10:40,6sec,11.54,2.22,25.0,70.6
20:10:41,7sec,11.5,2.29,25.0,69.4
20:10:42,8sec,11.52,2.07,25.0,70.0
20:10:43,9sec,11.63,0.85,25.0,73.1
20:10:44,10sec,11.69,0.17,25.0,74.7
20:10:45,11sec,11.68,0.05,25.0,74.4
20:10:46,12sec,11.64,0.55,25.0,73.3
20:10:47,13sec,11.58,1.28,25.0,71.7
20:10:48,14sec,11.52,2.41,25.0,70.0
20:10:49,15sec,11.49,2.64,25.0,69.2
20:10:50,16sec,11.93,2.57,25.0,81.4
