time,time_count,voltage,current,temp,soc
18:10:50,0sec,12.12,1.18,25,86.7
18:10:52,1sec,12.27,0.46,25,90.8
18:10:52,2sec,12.29,0,25,91.4
18:10:54,3sec,12.32,0.37,25,92.2
18:10:54,4sec,12.23,0.77,25,89.7
18:10:56,5sec,12.14,1.3,25,87.2
18:10:57,6sec,12.06,1.68,25,85
18:10:58,7sec,12.05,1.65,25,84.7
18:10:58,8sec,12.1,1.6,25,86.1
18:11:00,9sec,11.9,0.41,25,80.6
18:11:00,10sec,11.79,0.51,25,77.5
18:11:02,11sec,11.98,0.38,25,82.8
18:11:03,12sec,12.01,0.33,25,83.6
18:11:04,13sec,11.88,0.6,25,80
18:11:04,14sec,12.06,0,25,85
18:11:06,15sec,12.03,0,25,84.2
18:11:06,16sec,11.99,0,25,83.1
18:11:08,17sec,11.99,0.4,25,83.1
18:11:08,18sec,12.01,0,25,83.6
18:11:10,19sec,12.03,0,25,84.2
18:11:10,20sec,12.08,0,25,85.6
18:11:12,21sec,12.07,0.26,25,85.3
18:11:13,22sec,12.06,0.66,25,85
18:11:14,23sec,11.98,0.46,25,82.8
18:11:14,24sec,12.03,0.38,25,84.2
18:11:16,25sec,11.99,0.38,25,83.1
18:11:16,26sec,11.99,0.57,25,83.1
18:11:18,27sec,12.05,0.25,25,84.7
18:11:18,28sec,12.05,0.23,25,84.7
18:11:20,29sec,12.04,0.39,25,84.4
18:11:20,30sec,12.01,0,25,83.6
18:11:22,31sec,12.03,0,25,84.2
18:11:22,32sec,11.98,0.29,25,82.8
18:11:24,33sec,12.02,0.3,25,83.9
18:11:24,34sec,12.02,0,25,83.9
18:11:26,35sec,12.01,0.22,25,83.6
18:11:26,36sec,12.03,0.67,25,84.2
18:11:28,37sec,12.04,0.67,25,84.4
18:11:29,38sec,12.04,0.53,25,84.4
18:11:30,39sec,12.02,0.6,25,83.9
18:11:30,40sec,11.97,0,25,82.5
18:11:32,41sec,11.99,0,25,83.1
18:11:32,42sec,12.01,0.7,25,83.6
18:11:34,43sec,11.94,0.21,25,81.7
18:11:34,44sec,11.99,0.63,25,83.1
18:11:36,45sec,12.04,0.63,25,84.4
18:11:36,46sec,11.99,0.69,25,83.1
18:11:38,47sec,12,0.69,25,83.3
18:11:38,48sec,12.01,0.42,25,83.6
18:11:40,49sec,11.95,0.29,25,81.9
18:11:40,50sec,11.99,0.61,25,83.1
18:11:42,51sec,11.95,0.23,25,81.9
18:11:42,52sec,11.9,0,25,80.6
18:11:44,53sec,11.94,0.58,25,81.7
18:11:44,54sec,12,0.72,25,83.3
18:11:46,55sec,11.97,0.25,25,82.5
18:11:46,56sec,11.91,0.8,25,80.8
18:11:48,57sec,11.98,0.38,25,82.8
18:11:49,58sec,11.71,1.26,25,75.3
18:11:50,59sec,11.86,1.14,25,79.4
18:11:50,60sec,11.84,0.29,25,78.9
18:11:52,61sec,11.95,0.6,25,81.9
18:11:52,62sec,11.94,0.57,25,81.7
18:11:54,63sec,11.97,0.59,25,82.5
18:11:54,64sec,11.82,0,25,78.3
18:11:56,65sec,11.72,1.06,25,75.6
18:11:57,66sec,11.73,1.29,25,75.8
18:11:58,67sec,11.69,1.06,25,74.7
18:11:58,68sec,11.76,0.74,25,76.7
18:12:00,69sec,11.86,0,25,79.4
18:12:00,70sec,12.01,0.56,25,83.6
18:12:02,71sec,11.97,0.56,25,82.5
18:12:02,72sec,11.96,0.59,25,82.2
18:12:04,73sec,11.96,0.68,25,82.2
18:12:04,74sec,11.97,0.45,25,82.5
18:12:06,75sec,11.97,0,25,82.5
18:12:06,76sec,11.92,0.54,25,81.1
18:12:08,77sec,11.91,0.23,25,80.8
18:12:08,78sec,11.93,0.23,25,81.4
18:12:10,79sec,11.95,0.58,25,81.9
18:12:10,80sec,11.9,0.38,25,80.6
18:12:12,81sec,11.95,0.44,25,81.9
18:12:12,82sec,11.9,0.58,25,80.6
18:12:14,83sec,11.72,1.12,25,75.6
18:12:15,84sec,11.68,1.25,25,74.4
18:12:16,85sec,11.75,0.67,25,76.4
18:12:16,86sec,11.91,0,25,80.8
18:12:18,87sec,11.87,0.56,25,79.7
18:12:18,88sec,11.87,0.49,25,79.7
18:12:20,89sec,11.79,0.35,25,77.5
18:12:20,90sec,11.75,0.35,25,76.4
18:12:22,91sec,11.7,1.12,25,75
18:12:22,92sec,11.69,1.31,25,74.7
18:12:24,93sec,11.75,0.86,25,76.4
18:12:24,94sec,11.86,0.32,25,79.4
18:12:26,95sec,11.93,0.38,25,81.4
18:12:26,96sec,11.93,0.79,25,81.4
18:12:27,97sec,11.94,0.71,25,81.7
18:12:29,98sec,11.8,0,25,77.8
18:12:29,99sec,11.67,0.78,25,74.2
18:12:31,100sec,11.66,0.99,25,73.9
18:12:32,101sec,11.62,1.26,25,72.8
18:12:33,102sec,11.71,0.61,25,75.3
18:12:33,103sec,11.81,0,25,78.1
18:12:35,104sec,11.93,0.64,25,81.4
18:12:35,105sec,11.95,0.45,25,81.9
18:12:37,106sec,11.9,0.23,25,80.6
18:12:38,107sec,11.76,0.64,25,76.7
18:12:39,108sec,11.65,1.42,25,73.6
18:12:40,109sec,11.76,1.11,25,76.7
18:12:41,110sec,11.75,0.83,25,76.4
18:12:41,111sec,11.74,0.24,25,76.1
18:12:43,112sec,11.87,0.22,25,79.7
18:12:43,113sec,11.87,0.37,25,79.7
18:12:45,114sec,11.75,0.42,25,76.4
18:12:46,115sec,11.83,0,25,78.6
18:12:47,116sec,11.68,0.76,25,74.4
18:12:47,117sec,11.69,1.42,25,74.7
18:12:49,118sec,11.64,1.4,25,73.3
18:12:49,119sec,11.7,0.84,25,75
18:12:51,120sec,11.83,0.38,25,78.6
18:12:51,121sec,12.39,0,25,94.2
18:12:53,122sec,11.92,0,25,81.1
18:12:53,123sec,11.82,0,25,78.3
18:12:55,124sec,11.76,0.85,25,76.7
18:12:55,125sec,11.65,1.57,25,73.6
18:12:57,126sec,11.83,0.28,25,78.6
18:12:57,127sec,11.85,0,25,79.2
18:12:59,128sec,11.86,0,25,79.4
18:12:59,129sec,11.82,0,25,78.3
18:13:01,130sec,11.89,0,25,80.3
18:13:02,131sec,11.81,0,25,78.1
18:13:03,132sec,11.82,0,25,78.3
18:13:03,133sec,11.86,0,25,79.4
18:13:05,134sec,11.87,0.54,25,79.7
18:13:05,135sec,11.9,0.52,25,80.6
18:13:07,136sec,11.85,0.21,25,79.2
18:13:07,137sec,11.8,0.54,25,77.8
18:13:09,138sec,11.81,0,25,78.1
18:13:09,139sec,11.87,0,25,79.7
18:13:11,140sec,11.82,0.51,25,78.3
18:13:12,141sec,11.73,1.75,25,75.8
18:13:13,142sec,11.67,2.16,25,74.2
18:13:14,143sec,11.64,2.22,25,73.3
18:13:15,144sec,11.65,2.49,25,73.6
18:13:15,145sec,11.79,1.34,25,77.5
18:13:17,146sec,11.84,0.74,25,78.9
18:13:17,147sec,11.82,0.36,25,78.3
18:13:19,148sec,11.93,0,25,81.4
18:13:19,149sec,11.83,0.75,25,78.6
18:13:21,150sec,11.68,2.22,25,74.4
18:13:22,151sec,11.62,2.43,25,72.8
18:13:23,152sec,11.61,2.8,25,72.5
18:13:23,153sec,11.74,1.78,25,76.1
18:13:25,154sec,11.78,0.95,25,77.2
18:13:25,155sec,11.87,0,25,79.7
18:13:27,156sec,11.9,0.3,25,80.6
18:13:28,157sec,11.89,1.16,25,80.3
18:13:29,158sec,11.75,1.52,25,76.4
18:13:29,159sec,11.64,2.53,25,73.3
18:13:31,160sec,11.65,2.59,25,73.6
18:13:32,161sec,11.67,2.74,25,74.2
18:13:33,162sec,11.73,1.47,25,75.8
18:13:33,163sec,11.8,0.62,25,77.8
18:13:35,164sec,11.8,0,25,77.8
18:13:35,165sec,11.88,0,25,80
18:13:37,166sec,11.78,1.27,25,77.2
18:13:37,167sec,11.65,2.19,25,73.6
18:13:39,168sec,11.62,2.97,25,72.8
18:13:40,169sec,11.63,2.48,25,73.1
18:13:41,170sec,11.74,2.14,25,76.1
18:13:41,171sec,11.83,1.33,25,78.6
18:13:43,172sec,11.84,0,25,78.9
18:13:43,173sec,11.83,0,25,78.6
18:13:45,174sec,11.78,0.54,25,77.2
18:13:45,175sec,11.72,1.23,25,75.6
18:13:47,176sec,11.56,2.34,25,71.1
18:13:47,177sec,11.62,2.61,25,72.8
18:13:49,178sec,11.6,2.88,25,72.2
18:13:49,179sec,11.72,1.35,25,75.6
18:13:51,180sec,11.79,0.75,25,77.5
18:13:51,181sec,11.83,0.32,25,78.6
18:13:53,182sec,11.85,0,25,79.2
18:13:53,183sec,11.93,0.28,25,81.4
18:13:55,184sec,11.89,0.31,25,80.3
18:13:55,185sec,11.86,0.9,25,79.4
18:13:57,186sec,11.8,0.64,25,77.8
18:13:57,187sec,11.83,0.86,25,78.6
18:13:59,188sec,11.81,0.52,25,78.1
18:13:59,189sec,11.85,0.4,25,79.2
18:14:01,190sec,11.85,0.32,25,79.2
18:14:01,191sec,11.84,0,25,78.9
18:14:03,192sec,11.84,0.31,25,78.9
18:14:03,193sec,11.88,0.54,25,80
18:14:05,194sec,11.86,0.28,25,79.4
18:14:05,195sec,11.78,0.62,25,77.2
18:14:07,196sec,11.84,0,25,78.9
18:14:07,197sec,11.77,0.53,25,76.9
18:14:09,198sec,11.81,0.34,25,78.1
18:14:09,199sec,11.79,0.21,25,77.5
18:14:11,200sec,11.85,0,25,79.2
