time,time_count,voltage,current,temp,soc
20:02:43,0sec,12.23,0.65,25.0,89.7
20:02:44,1sec,12.26,0.33,25.0,90.6
20:02:45,2sec,12.26,0.36,25.0,90.6
20:02:46,3sec,12.22,1.09,25.0,89.4
20:02:47,4sec,12.1,1.94,25.0,86.1
20:02:48,5sec,12.15,2.23,25.0,87.5
20:02:49,6sec,12.08,2.47,25.0,85.6
20:02:50,7sec,12.17,1.62,25.0,88.1
20:02:51,8sec,12.21,0.97,25.0,89.2
20:02:52,9sec,12.27,0.48,25.0,90.8
20:02:53,10sec,12.29,0.53,25.0,91.4
20:02:54,11sec,12.27,0.41,25.0,90.8
20:02:55,12sec,12.28,0.53,25.0,91.1
20:02:56,13sec,12.26,0.36,25.0,90.6
20:02:57,14sec,12.25,0.66,25.0,90.3
20:02:58,15sec,12.28,0.5,25.0,91.1
20:02:59,16sec,12.27,1.06,25.0,90.8
20:03:00,17sec,12.26,1.73,25.0,90.6
20:03:01,18sec,12.26,0.58,25.0,90.6
20:03:02,19sec,12.27,0.58,25.0,90.8
20:03:03,20sec,12.27,0.58,25.0,90.8
20:03:04,21sec,12.26,0.49,25.0,90.6
20:03:05,22sec,12.22,0.87,25.0,89.4
20:03:06,23sec,12.25,0.93,25.0,90.3
20:03:07,24sec,12.28,0.66,25.0,91.1
20:03:08,25sec,12.25,0.83,25.0,90.3
20:03:09,26sec,12.29,0.57,25.0,91.4
20:03:10,27sec,12.28,0.44,25.0,91.1
20:03:11,28sec,12.26,0.78,25.0,90.6
20:03:12,29sec,12.13,1.68,25.0,86.9
20:03:13,30sec,12.1,2.57,25.0,86.1
20:03:14,31sec,12.11,2.47,25.0,86.4
20:03:15,32sec,12.12,2.25,25.0,86.7
20:03:16,33sec,12.18,1.64,25.0,88.3
20:03:17,34sec,11.66,1.31,25.0,73.9
20:03:18,35sec,12.26,0.51,25.0,90.6
20:03:19,36sec,12.27,0.41,25.0,90.8
20:03:20,37sec,12.18,1.4,25.0,88.3
20:03:21,38sec,12.13,2.1,25.0,86.9
20:03:22,39sec,12.1,2.86,25.0,86.1
20:03:23,40sec,12.0,2.58,25.0,83.3
20:03:24,41sec,12.16,1.56,25.0,87.8
20:03:25,42sec,12.2,0.96,25.0,88.9
20:03:26,43sec,11.93,0.35,25.0,81.4
20:03:27,44sec,11.95,0.28,25.0,81.9
20:03:28,45sec,11.89,0.57,25.0,80.3
20:03:29,46sec,11.8,1.49,25.0,77.8
20:03:30,47sec,12.08,2.36,25.0,85.6
20:03:32,49sec,12.09,2.25,25.0,85.8
20:03:32,49sec,12.08,2.52,25.0,85.6
20:03:33,51sec,11.71,1.16,25.0,75.3
20:03:34,51sec,11.77,1.52,25.0,76.9
20:03:35,53sec,11.81,0.27,25.0,78.1
20:03:36,53sec,11.83,0.19,25.0,78.6
20:03:37,54sec,11.76,0.91,25.0,76.7
20:03:38,55sec,11.65,2.04,25.0,73.6
20:03:39,56sec,11.64,2.6,25.0,73.3
20:03:40,57sec,11.61,3.06,25.0,72.5
20:03:41,58sec,11.08,0.83,25.0,57.8
20:03:42,59sec,11.37,0.72,25.0,65.8
20:03:43,61sec,11.43,0.09,25.0,67.5
20:03:44,61sec,11.43,0.93,25.0,67.5
20:03:46,63sec,11.39,1.24,25.0,66.4
20:03:46,63sec,11.24,2.78,25.0,62.2
20:03:47,64sec,11.91,2.95,25.0,80.8
20:03:48,66sec,10.96,2.27,25.0,54.4
20:03:49,66sec,10.96,1.61,25.0,54.4
20:03:50,67sec,12.11,1.96,25.0,86.4
20:03:51,69sec,11.72,1.07,25.0,75.6
20:03:52,70sec,11.71,0.68,25.0,75.3
20:03:53,71sec,11.64,1.13,25.0,73.3
20:03:54,72sec,11.62,2.15,25.0,72.8
20:03:55,73sec,11.54,2.69,25.0,70.6
20:03:57,74sec,11.49,2.52,25.0,69.2
20:03:57,75sec,11.52,2.6,25.0,70.0
20:03:59,76sec,11.69,1.71,25.0,74.7
20:03:59,76sec,12.09,1.22,25.0,85.8
20:04:00,77sec,12.18,0.73,25.0,88.3
20:04:01,78sec,12.19,0.62,25.0,88.6
