time,voltage,current,temp,speed,soc
0,12.6,0.5,25.0,0.0,100.0
10,12.5,12.5,25.5,2.5,97.2
20,12.4,15.0,26.0,3.5,94.4
30,12.2,18.5,27.2,4.8,88.8
40,12.0,14.2,28.5,3.8,83.3
50,11.8,12.0,29.1,3.0,77.7
60,11.6,8.5,29.8,2.0,72.2
70,11.4,15.5,30.5,4.0,66.6
80,11.2,16.2,31.5,4.2,61.1
90,11.0,10.1,32.0,2.5,55.5
100,10.8,18.0,33.2,4.5,50.0
110,10.6,19.5,34.5,5.0,44.4
120,10.4,15.0,35.1,3.8,38.8
130,10.2,14.5,35.8,3.5,33.3
140,10.0,12.0,36.5,2.8,27.7
150,9.8,18.5,37.2,4.6,22.2
160,9.6,19.0,38.0,4.8,16.6
170,9.4,10.5,38.5,2.2,11.1
180,9.2,5.5,39.0,1.0,5.5
190,9.0,0.5,39.2,0.0,0.0
